accuracy,precision,recall,f1,pr_auc,model,household,scenario,split_type,leak_start,leak_end
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-04,Single linear imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Gradient Boosting,hh-04,Single linear imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.995079592271784,0.4330155544405419,0.9988425925925926,0.6041302065103256,0.6469809306596812,Isolation Forest best gamma=0.005,hh-04,Single linear imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9962411739370658,0.0,0.0,0.0,,Majority baseline,hh-04,Single forward-fill imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9870007265323525,0.22429906542056074,1.0,0.366412213740458,1.0,Night threshold,hh-04,Single forward-fill imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-04,Single forward-fill imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Gradient Boosting,hh-04,Single forward-fill imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9950752417786556,0.4327983951855567,0.9988425925925926,0.6039188243526942,0.6134782033141196,Isolation Forest best gamma=0.005,hh-04,Single forward-fill imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9962411739370658,0.0,0.0,0.0,,Majority baseline,hh-04,Single seasonal-profile imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9870007265323525,0.22429906542056074,1.0,0.366412213740458,1.0,Night threshold,hh-04,Single seasonal-profile imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-04,Single seasonal-profile imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
