gap_class,n_samples,mae_lpm,rmse_lpm,household,scenario
micro,3,0.0,0.0,hh-05,Single forward-fill imputation
small,15,0.2647103364393434,0.28793197326997627,hh-05,Single forward-fill imputation
huge,1800,0.36225914127244635,1.1426103094210998,hh-05,Single seasonal-profile imputation
large,720,0.4420215688729696,1.2665245872732949,hh-05,Single seasonal-profile imputation
medium,120,0.08784599609675563,0.1418703475310624,hh-05,Single seasonal-profile imputation
micro,3,0.02823540931713325,0.02823540931713325,hh-05,Single seasonal-profile imputation
small,15,0.09284994321315425,0.1327775455448153,hh-05,Single seasonal-profile imputation
huge,1800,0.5544896574637347,1.1026905322828007,hh-05,Gap-adaptive imputation
large,720,0.5477842809552972,1.1813018955929835,hh-05,Gap-adaptive imputation
medium,120,0.08784599609675563,0.1418703475310624,hh-05,Gap-adaptive imputation
micro,3,0.05432663552760253,0.05867947297855068,hh-05,Gap-adaptive imputation
small,15,0.15886914114159456,0.17890182354283993,hh-05,Gap-adaptive imputation
huge,1800,1.367210501201695,1.6130396687061737,hh-06,Single linear imputation
large,720,0.38681391890425904,1.01834979402252,hh-06,Single linear imputation
medium,120,0.06506161711712441,0.08294300626982856,hh-06,Single linear imputation
micro,3,0.10134625097005268,0.10158100771899742,hh-06,Single linear imputation
small,15,0.05195975787331933,0.05668852010843566,hh-06,Single linear imputation
huge,1800,2.5991082698956975,2.629757572511394,hh-06,Single forward-fill imputation
large,720,0.36963333838200685,1.0621030599774166,hh-06,Single forward-fill imputation
medium,120,0.04751330066481336,0.08777889779143924,hh-06,Single forward-fill imputation
micro,3,0.10828076295653159,0.10846357726854171,hh-06,Single forward-fill imputation
small,15,0.045258950491810626,0.0648278241974786,hh-06,Single forward-fill imputation
huge,1800,0.2724162623454063,0.86703057778005,hh-06,Single seasonal-profile imputation
large,720,0.36773611319871435,1.0460172087768487,hh-06,Single seasonal-profile imputation
medium,120,0.048410181024502195,0.08101817235698905,hh-06,Single seasonal-profile imputation
micro,3,0.06979932108034381,0.07008258835629051,hh-06,Single seasonal-profile imputation
small,15,0.04218553151574011,0.04667127292936077,hh-06,Single seasonal-profile imputation
huge,1800,0.34589106832387073,0.8329893422388952,hh-06,Gap-adaptive imputation
large,720,0.45426759111590165,0.9901014138039924,hh-06,Gap-adaptive imputation
medium,120,0.048410181024502195,0.08101817235698905,hh-06,Gap-adaptive imputation
micro,3,0.10134625097005268,0.10158100771899742,hh-06,Gap-adaptive imputation
